year,month,supplier,item_code,item_description,item_type,retail_sales,retail_transfers,warehouse_sales,original_description,bottle_size,bottle_category,total_sales,quarter,sales_activity
2020,3,LANTERNA DISTRIBUTORS INC,336445,THE BOATMAN RED BLEND,WINE,0.0,0.0,1.0,THE BOATMAN RED BLEND - 750ML,750ML,STANDARD,1.0,1,LOW
2020,3,FREE RUN WINE MERCHANTS LLC,336447,RHINO CAB PASO ROBLES 13,WINE,0.0,0.0,2.0,RHINO CAB PASO ROBLES 13 - 750ML,750ML,STANDARD,2.0,1,LOW
2020,3,SOUTHERN GLAZERS WINE AND SPIRITS,336455,SHANNON RIDGE HIGH ELEVATION ZIN,WINE,0.0,0.0,10.0,SHANNON RIDGE HIGH ELEVATION ZIN - 750ML,750ML,STANDARD,10.0,1,LOW
2020,3,PWSWN INC,336464,RABBIT RIDGEALLURE ROBLES RHONE RED,WINE,0.0,0.0,1.0,RABBIT RIDGEALLURE ROBLES RHONE RED -750ML,750ML,STANDARD,1.0,1,LOW
2020,3,RELIABLE CHURCHILL LLLP,336473,DISTRICT MADE GIN,LIQUOR,2.37,0.0,0.0,DISTRICT MADE GIN - 750ML,750ML,STANDARD,2.37,1,LOW
2020,3,REPUBLIC NATIONAL DISTRIBUTING CO,336512,FORTRESS CABERNET SAUVIGNON SONOMA COUNTY,WINE,0.25,0.0,2.0,FORTRESS CABERNET SAUVIGNON SONOMA COUNTY - 750ML,750ML,STANDARD,2.25,1,LOW
2020,3,CONSTANTINE WINES INC,336520,UNDERWOOD P/GRIS,WINE,0.0,0.0,7.0,UNDERWOOD P/GRIS - 750ML,750ML,STANDARD,7.0,1,LOW
2020,3,CONSTANTINE WINES INC,336527,UNDERWOOD ROSE,WINE,1.32,0.0,2.0,UNDERWOOD ROSE - 750ML,750ML,STANDARD,3.3200000000000003,1,LOW
2020,3,INTERBALT PRODUCTS CORP,336536,CH MAYNE TURON RED BORD,WINE,0.0,0.0,8.0,CH MAYNE TURON RED BORD - 750ML,750ML,STANDARD,8.0,1,LOW
2020,3,ROYAL WINE CORP,336567,BARON HERZOG CHEN BL/VIOG,WINE,0.0,0.0,10.0,BARON HERZOG CHEN BL/VIOG - 750ML,750ML,STANDARD,10.0,1,LOW
2020,3,TRI-VIN IMPORTS,336585,CH FLOREAL LAGUENS 12,WINE,0.98,0.0,2.0,CH FLOREAL LAGUENS 12 - 750ML,750ML,STANDARD,2.98,1,LOW
2020,3,TREASURY WINE ESTATES AMERICAS COMPANY,336637,A BY ACACIA CHARD,WINE,0.5,0.0,0.0,A BY ACACIA CHARD - 750ML,750ML,STANDARD,0.5,1,LOW
2020,3,MONSIEUR TOUTON SELECTION,336667,ARCAIA CAB,WINE,0.0,0.0,2.0,ARCAIA CAB - 1.5L,1.5L,LARGE,2.0,1,LOW
2020,3,O'NEILL BEVERAGES CO LLC,336689,BACKHOUSE CAB,WINE,1.71,2.0,8.0,BACKHOUSE CAB - 750ML,750ML,STANDARD,11.71,1,LOW
2020,3,INTERBALT PRODUCTS CORP,336701,BARON ST CHRISTOPHE,WINE,0.0,0.0,3.0,BARON ST CHRISTOPHE - 750ML,750ML,STANDARD,3.0,1,LOW
2020,3,ST GEORGE SPIRITS INC,336729,ST GEORGE BOTANIVORE GIN,LIQUOR,0.67,1.0,0.0,ST GEORGE BOTANIVORE GIN - 750ML,750ML,STANDARD,1.67,1,LOW
2020,3,FIFTH GENERATION INC,336731,TITO'S HANDMADE VODKA,LIQUOR,64.87,82.0,3.0,TITO'S HANDMADE VODKA - 375ML,375ML,MEDIUM,149.87,1,MEDIUM
2020,3,REPUBLIC NATIONAL DISTRIBUTING CO,336735,LIBERATED SAUVIGNON BLANC,WINE,1.64,0.0,8.0,LIBERATED SAUVIGNON BLANC - 750ML,750ML,STANDARD,9.64,1,LOW
2020,3,BANFI PRODUCTS CORP,336738,NATURA CHILE MERLOT,WINE,0.0,0.0,1.0,NATURA CHILE MERLOT - 750ML,750ML,STANDARD,1.0,1,LOW
2020,3,QUINTESSENTIAL LLC,336748,IRONSTONE ZINFANDEL,WINE,0.0,0.0,1.0,IRONSTONE ZINFANDEL - 750ML,750ML,STANDARD,1.0,1,LOW
2020,3,RUSSIAN STANDARD VODKA (USA) INC,336753,RUSSIAN STANDARD PLATINUM,LIQUOR,0.99,1.0,0.0,RUSSIAN STANDARD PLATINUM - 750ML,750ML,STANDARD,1.99,1,LOW
